Dataset,Protocol,Method,Overall Acc.,Old/Base Acc.,New/Inc. Acc.,HM
mCURE,Defocus-Support,CDC-only,66.398,87.041,39.667,54.498
mCURE,Defocus-Support,DARC,67.204,85.326,43.738,57.832
mCURE,Defocus-Support,DARC-no-RCB,66.263,86.565,39.975,54.693
mCURE,Defocus-Support,RCB-only,63.280,87.280,32.202,47.047
mCURE,Defocus-Support,Raw-Degraded-CEC,62.876,87.994,30.352,45.135
mCURE,Motion-Support,CDC-only,67.742,87.280,42.443,57.113
mCURE,Motion-Support,DARC,68.387,85.088,46.761,60.354
mCURE,Motion-Support,DARC-no-RCB,67.930,86.422,43.985,58.299
mCURE,Motion-Support,RCB-only,66.720,86.660,40.901,55.573
mCURE,Motion-Support,Raw-Degraded-CEC,66.048,87.661,38.063,53.079
Flowers102,Defocus-Support,CDC-only,69.565,95.748,39.423,55.850
Flowers102,Defocus-Support,DARC,72.897,94.989,47.465,63.300
Flowers102,Defocus-Support,DARC-no-RCB,71.759,96.052,43.794,60.159
Flowers102,Defocus-Support,RCB-only,71.841,96.507,43.444,59.916
Flowers102,Defocus-Support,Raw-Degraded-CEC,70.012,96.963,38.986,55.612
Flowers102,Motion-Support,CDC-only,76.798,96.431,54.196,69.392
Flowers102,Motion-Support,DARC,79.236,95.444,60.577,74.115
Flowers102,Motion-Support,DARC-no-RCB,77.773,96.431,56.294,71.088
Flowers102,Motion-Support,RCB-only,77.895,96.355,56.643,71.346
Flowers102,Motion-Support,Raw-Degraded-CEC,76.270,96.963,52.448,68.074
