Method,Protocol,Base Acc.,1,2,3,4,5,6,7,8,AHM,FA,FHM
CEC,Defocus-Support,97.722,77.197,64.073,61.968,62.637,58.050,55.150,54.758,55.612,61.181,70.012,55.612
FACT,Defocus-Support,98.026,76.530,62.764,49.066,51.207,47.610,46.045,46.861,44.935,53.127,65.746,44.935
TEEN,Defocus-Support,97.722,81.608,74.845,67.361,66.484,61.707,58.333,57.587,58.249,65.772,70.662,58.249
SAVC,Defocus-Support,97.950,79.561,70.279,61.013,63.342,59.208,57.674,57.805,57.521,63.300,71.069,57.521
LIMIT,Defocus-Support,97.722,77.268,63.662,59.275,61.204,56.604,53.917,53.797,55.612,60.168,70.012,55.612
BiDistFSCIL,Defocus-Support,98.709,68.371,73.582,67.157,64.823,58.390,59.158,48.642,48.862,61.123,64.242,48.862
DARC,Defocus-Support,97.722,86.484,78.632,72.160,72.955,67.256,64.971,63.225,63.300,71.123,72.897,63.300
CEC,Motion-Support,97.722,85.879,76.896,76.067,75.709,71.435,70.130,67.061,68.074,73.906,76.270,68.074
FACT,Motion-Support,98.026,85.996,79.575,72.587,71.913,68.884,65.925,63.359,63.003,71.405,73.710,63.003
TEEN,Motion-Support,97.722,87.756,79.678,77.048,75.982,72.002,70.692,68.377,69.385,75.115,76.676,69.385
SAVC,Motion-Support,97.950,89.813,84.948,80.146,78.531,74.389,73.015,71.405,71.355,77.950,78.302,71.355
LIMIT,Motion-Support,97.722,85.264,75.790,74.579,74.754,70.469,69.404,66.834,68.074,73.146,76.270,68.074
BiDistFSCIL,Motion-Support,98.709,60.051,78.281,78.855,75.058,69.258,67.507,62.770,58.279,68.757,69.768,58.279
DARC,Motion-Support,97.722,90.335,84.804,82.477,80.687,77.478,75.773,73.338,74.115,79.876,79.236,74.115
