Method,Protocol,Base Acc.,1,2,3,4,5,6,7,8,AHM,FA,FHM
CEC,Defocus-Support,91.71,53.408,49.33,52.378,53.791,51.494,49.524,47.116,45.135,50.272,62.876,45.135
FACT,Defocus-Support,88.709,34.475,37.756,41.824,46.307,44.685,43.381,42.143,37.866,41.055,59.328,37.866
LIMIT,Defocus-Support,91.71,53.433,49.618,51.768,53.619,51.271,49.468,46.902,45.135,50.152,62.876,45.135
SAVC,Defocus-Support,90.186,40.97,39.195,42.189,47.603,46.834,45.699,45.42,42.205,43.764,62.07,42.205
TEEN,Defocus-Support,91.71,56.355,52.715,55.102,56.484,54.601,52.784,50.446,47.936,53.303,62.93,47.936
BiDistFSCIL,Defocus-Support,94.712,41.762,45.8,47.886,49.89,44.6,42.087,39.739,36.339,43.513,56.586,36.339
DARC,Defocus-Support,91.71,61.431,60.162,61.898,62.527,62.342,61.431,59.757,57.832,60.922,67.204,57.832
CEC,Motion-Support,91.71,59.257,56.328,57.294,58.544,58.364,57.064,55.995,53.079,56.99,66.048,53.079
FACT,Motion-Support,88.709,41.98,45.843,50.804,55.306,53.539,52.554,50.251,45.458,49.467,61.935,45.458
LIMIT,Motion-Support,91.71,60.679,56.846,57.843,59.168,58.611,57.189,55.676,53.079,57.386,66.048,53.079
SAVC,Motion-Support,90.186,57.574,55.843,57.127,61.117,61.185,59.191,58.293,55.034,58.171,67.097,55.034
TEEN,Motion-Support,91.71,62.318,60.909,61.44,61.684,61.455,60.231,59.374,56.512,60.49,66.532,56.512
BiDistFSCIL,Motion-Support,94.712,45.425,52.772,54.116,52.497,50.401,44.132,43.591,38.563,47.687,57.473,38.563
DARC,Motion-Support,91.71,66.969,65.384,64.853,65.035,65.158,63.548,62.362,60.354,64.208,68.387,60.354
