Dataset,ProtocolKey,Protocol,Family,Severity,Shot,Method,Overall,Old,New,HM
Flowers102-FSCIL,gaussian_r2.0_5of5,Defocus-Support r=2,Defocus,2.0,5,BiDistFSCIL,71.556,93.394,46.416,62.012
Flowers102-FSCIL,gaussian_r2.0_5of5,Defocus-Support r=2,Defocus,2.0,5,CEC,80.339,96.963,61.888,75.553
Flowers102-FSCIL,gaussian_r2.0_5of5,Defocus-Support r=2,Defocus,2.0,5,DARC,82.731,95.976,67.483,79.246
Flowers102-FSCIL,gaussian_r2.0_5of5,Defocus-Support r=2,Defocus,2.0,5,FACT,77.940,97.267,54.633,69.967
Flowers102-FSCIL,gaussian_r2.0_5of5,Defocus-Support r=2,Defocus,2.0,5,LIMIT,80.658,96.963,61.888,75.553
Flowers102-FSCIL,gaussian_r2.0_5of5,Defocus-Support r=2,Defocus,2.0,5,SAVC,82.934,96.963,66.783,79.092
Flowers102-FSCIL,gaussian_r2.0_5of5,Defocus-Support r=2,Defocus,2.0,5,TEEN,81.349,95.596,64.948,77.346
Flowers102-FSCIL,gaussian_r6.0_5of5,Defocus-Support r=6,Defocus,6.0,5,BiDistFSCIL,64.567,92.635,32.255,47.849
Flowers102-FSCIL,gaussian_r6.0_5of5,Defocus-Support r=6,Defocus,6.0,5,CEC,59.729,97.267,20.192,33.442
Flowers102-FSCIL,gaussian_r6.0_5of5,Defocus-Support r=6,Defocus,6.0,5,DARC,66.152,94.989,32.955,48.933
Flowers102-FSCIL,gaussian_r6.0_5of5,Defocus-Support r=6,Defocus,6.0,5,FACT,58.112,97.646,12.850,22.711
Flowers102-FSCIL,gaussian_r6.0_5of5,Defocus-Support r=6,Defocus,6.0,5,LIMIT,61.438,97.267,20.192,33.442
Flowers102-FSCIL,gaussian_r6.0_5of5,Defocus-Support r=6,Defocus,6.0,5,SAVC,63.308,97.646,23.776,38.241
Flowers102-FSCIL,gaussian_r6.0_5of5,Defocus-Support r=6,Defocus,6.0,5,TEEN,63.023,96.203,24.825,39.466
Flowers102-FSCIL,motion_len9_5of5,Motion-Support len=9,Motion,9.0,5,BiDistFSCIL,73.629,94.077,50.087,65.371
Flowers102-FSCIL,motion_len9_5of5,Motion-Support len=9,Motion,9.0,5,CEC,80.847,96.963,63.024,76.394
Flowers102-FSCIL,motion_len9_5of5,Motion-Support len=9,Motion,9.0,5,DARC,82.609,95.520,67.745,79.270
Flowers102-FSCIL,motion_len9_5of5,Motion-Support len=9,Motion,9.0,5,FACT,79.402,96.963,56.206,71.162
Flowers102-FSCIL,motion_len9_5of5,Motion-Support len=9,Motion,9.0,5,LIMIT,81.187,96.963,63.024,76.394
Flowers102-FSCIL,motion_len9_5of5,Motion-Support len=9,Motion,9.0,5,SAVC,83.950,97.115,68.794,80.537
Flowers102-FSCIL,motion_len9_5of5,Motion-Support len=9,Motion,9.0,5,TEEN,81.349,95.976,64.510,77.159
Flowers102-FSCIL,motion_len21_5of5,Motion-Support len=21,Motion,21.0,5,BiDistFSCIL,69.768,94.153,41.696,57.796
Flowers102-FSCIL,motion_len21_5of5,Motion-Support len=21,Motion,21.0,5,CEC,71.189,97.039,42.220,58.840
Flowers102-FSCIL,motion_len21_5of5,Motion-Support len=21,Motion,21.0,5,DARC,74.848,95.368,51.224,66.649
Flowers102-FSCIL,motion_len21_5of5,Motion-Support len=21,Motion,21.0,5,FACT,70.180,97.570,34.266,50.719
Flowers102-FSCIL,motion_len21_5of5,Motion-Support len=21,Motion,21.0,5,LIMIT,71.556,97.039,42.220,58.840
Flowers102-FSCIL,motion_len21_5of5,Motion-Support len=21,Motion,21.0,5,SAVC,73.060,97.418,45.017,61.579
Flowers102-FSCIL,motion_len21_5of5,Motion-Support len=21,Motion,21.0,5,TEEN,72.166,95.824,44.930,61.176
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,5,CEC,70.012,96.963,38.986,55.612
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,5,FACT,65.746,97.494,29.196,44.935
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,5,TEEN,70.662,95.672,41.871,58.249
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,5,SAVC,71.069,97.342,40.822,57.521
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,5,LIMIT,70.012,96.963,38.986,55.612
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,5,BiDistFSCIL,64.242,91.040,33.392,48.862
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,5,DARC,72.897,94.989,47.465,63.300
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,5,CEC,76.270,96.963,52.448,68.074
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,5,FACT,73.710,97.267,46.591,63.003
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,5,TEEN,76.676,96.128,54.283,69.385
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,5,SAVC,78.302,97.418,56.294,71.355
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,5,LIMIT,76.270,96.963,52.448,68.074
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,5,BiDistFSCIL,69.768,93.622,42.308,58.279
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,5,DARC,79.236,95.444,60.577,74.115
