Dataset,ProtocolKey,Protocol,Family,Severity,Shot,Method,Overall,Old,New,HM
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,1,BiDistFSCIL,61.520,95.672,22.203,36.041
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,1,CEC,57.020,97.646,12.500,22.163
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,1,DARC,61.276,96.735,20.455,33.769
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,1,FACT,55.605,97.722,9.266,16.927
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,1,LIMIT,58.066,97.646,12.500,22.163
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,1,SAVC,57.944,97.874,11.976,21.340
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,1,TEEN,61.438,94.077,23.864,38.070
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,3,BiDistFSCIL,65.705,94.457,32.605,48.477
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,3,CEC,66.870,97.267,31.993,48.149
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,3,DARC,71.150,95.748,42.832,59.187
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,3,FACT,63.052,97.646,24.476,39.140
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,3,LIMIT,66.924,97.267,31.993,48.149
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,3,SAVC,68.021,97.646,33.916,50.345
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,3,TEEN,68.265,95.976,36.364,52.744
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,1,BiDistFSCIL,63.836,95.672,27.185,42.340
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,1,CEC,62.967,97.570,25.000,39.802
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,1,DARC,67.615,96.887,33.916,50.244
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,1,FACT,60.325,97.798,18.357,30.911
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,1,LIMIT,63.836,97.570,25.000,39.802
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,1,SAVC,62.901,97.798,22.727,36.883
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,1,TEEN,67.899,96.052,35.490,51.829
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,3,BiDistFSCIL,68.346,94.989,37.675,53.951
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,3,CEC,73.198,97.267,46.154,62.602
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,3,DARC,76.554,96.203,53.934,69.118
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,3,FACT,71.463,97.494,38.199,54.892
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,3,LIMIT,73.507,97.267,46.154,62.602
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,3,SAVC,74.848,97.418,48.864,65.083
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,3,TEEN,75.010,96.507,50.262,66.099
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,5,CEC,70.012,96.963,38.986,55.612
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,5,FACT,65.746,97.494,29.196,44.935
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,5,TEEN,70.662,95.672,41.871,58.249
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,5,SAVC,71.069,97.342,40.822,57.521
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,5,LIMIT,70.012,96.963,38.986,55.612
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,5,BiDistFSCIL,64.242,91.040,33.392,48.862
Flowers102-FSCIL,gaussian_r4.0_5of5,Defocus-Support,Defocus,4.0,5,DARC,72.897,94.989,47.465,63.300
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,5,CEC,76.270,96.963,52.448,68.074
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,5,FACT,73.710,97.267,46.591,63.003
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,5,TEEN,76.676,96.128,54.283,69.385
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,5,SAVC,78.302,97.418,56.294,71.355
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,5,LIMIT,76.270,96.963,52.448,68.074
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,5,BiDistFSCIL,69.768,93.622,42.308,58.279
Flowers102-FSCIL,motion_len15_5of5,Motion-Support,Motion,15.0,5,DARC,79.236,95.444,60.577,74.115
